unit_id,video_file,annotator,verse_ref,mention_type,has_explicit_ref,uncertain,notes,created_at
kn_gita-5th_video_0009,gita-5th_video,Expert (father),BG 2.13,T2,0,0,dhirah... tatra na muhyati + etymology dhiya ramate iti dhirah,2026-08-26T14:25:26
kn_gita-5th_video_0010,gita-5th_video,Expert (father),BG 2.13,T1,0,0,"asocyan anusocas tvam (2.11 fragment) mid-unit, then full re-recitation of 2.13",2026-08-26T14:25:26
kn_gita-5th_video_0011,gita-5th_video,Expert (father),BG 2.13,T2,0,0,"OOS: non-Gita Carvaka/Lokayata maxim bhasmibhutasya dehasya punaragamanam kutah, quoted to be refuted",2026-08-26T14:25:26
kn_gita-5th_video_0012,gita-5th_video,Expert (father),BG 2.13,T2,0,1,pratika-only (dehi as lemma); same adjudication bucket as unit 0000,2026-08-26T14:25:26
kn_gita-5th_video_0013,gita-5th_video,Expert (father),BG 2.13,T4,0,0,karma-across-lives application; dehantara as flowing vocabulary not quotation,2026-08-26T14:25:26
kn_gita-5th_video_0014,gita-5th_video,Expert (father),BG 2.13,T2,0,0,ends quoting dhirah tatra na muhyati,2026-08-26T14:25:26
kn_gita-5th_video_0015,gita-5th_video,Expert (father),BG 2.12,T4,0,0,"reflection on both verses teaching, no quotes",2026-08-26T14:25:26
kn_gita-5th_video_0015,gita-5th_video,Expert (father),BG 2.13,T4,0,0,"reflection on both verses teaching, no quotes",2026-08-26T14:25:26
kn_gita-5th_video_0016,gita-5th_video,Expert (father),BG 2.13,T4,0,0,"transitional: Arjunas remaining objection (viyoga); still inside 2.12-13 block, transition toward 2.14",2026-08-26T14:25:26
kn_gita-5th_video_0017,gita-5th_video,Expert (father),BG 2.14,T4,1,0,"Drona/Bhishma lament: the question 2.14 answers; speaker names ""14ne shloka"". Forward-reference",2026-08-26T14:25:26
kn_gita-5th_video_0018,gita-5th_video,Expert (father),NONE,NONE,0,0,8 words of dedication,2026-08-26T14:25:26
kn_gita-6th_video_0000,gita-6th_video,Expert (father),BG 2.14,T1,1,0,"""14ne shloka"" + full recitation + PADAVIBHAGA:. Commentary Sanskrit: Raghavendra Gitartha-sangraha avatarika. ASR renders anityah as nityaha - garble, does not downgrade T1",2026-08-26T14:27:12
kn_gita-6th_video_0001,gita-6th_video,Expert (father),BG 2.14,T2,0,0,avatarika Sanskrit continues (tad-deha-darsana-sparsana-sambhasanadeh) - all commentary; verse anchor is matra-sparsah at end,2026-08-26T14:27:12
kn_gita-6th_video_0002,gita-6th_video,Expert (father),BG 2.14,T2,0,0,matra-sparsa + etymology miyante iti matrah (commentary),2026-08-26T14:27:12
kn_gita-6th_video_0003,gita-6th_video,Expert (father),BG 2.14,T2,0,0,"matra-sparsah, kaunteya, sita-usna-sukha-duhkha-dah",2026-08-26T14:27:12
kn_gita-6th_video_0004,gita-6th_video,Expert (father),BG 2.14,T4,0,0,"senses/experience explanation, pure Kannada",2026-08-26T14:27:12
kn_gita-6th_video_0005,gita-6th_video,Expert (father),BG 2.14,T2,0,0,matra-sparsas tu quoted; the tu = eva kaku point (Madhva bhasya),2026-08-26T14:27:12
kn_gita-6th_video_0006,gita-6th_video,Expert (father),BG 2.14,T4,0,0,kaku discussion + apple example begins - no verse Sanskrit,2026-08-26T14:27:12
kn_gita-6th_video_0007,gita-6th_video,Expert (father),BG 2.14,T4,0,0,"apple example, own words",2026-08-26T14:27:12
kn_gita-6th_video_0008,gita-6th_video,Expert (father),BG 2.14,T4,0,0,visayabhimana as vocabulary; own words,2026-08-26T14:27:12
kn_gita-6th_video_0009,gita-6th_video,Expert (father),BG 2.14,T4,0,0,fallen-child example,2026-08-26T14:27:12
kn_gita-6th_video_0010,gita-6th_video,Expert (father),BG 2.14,T4,0,0,rented-house/nail example,2026-08-26T14:27:12
kn_gita-6th_video_0011,gita-6th_video,Expert (father),BG 2.14,T4,0,0,"application to Arjunas grief, own words",2026-08-26T14:27:12
kn_gita-6th_video_0012,gita-6th_video,Expert (father),BG 2.14,T4,0,0,own words + commentary phrase bhagavad-dvit-tad-anubandhinah (same Madhva term as gita-4th 0010),2026-08-26T14:27:12
kn_gita-6th_video_0013,gita-6th_video,Expert (father),BG 2.14,T2,0,0,agamapayinah quoted and glossed,2026-08-26T14:27:12
kn_gita-6th_video_0014,gita-6th_video,Expert (father),BG 2.14,T2,0,0,"agama apayinah, anitya + Ganga analogy",2026-08-26T14:27:12
kn_gita-6th_video_0015,gita-6th_video,Expert (father),BG 2.14,T2,0,0,anityah explicitly attributed to the verse (anityaha anno padadinda),2026-08-26T14:27:12
kn_gita-6th_video_0016,gita-6th_video,Expert (father),BG 2.14,T2,0,0,tan titiksasva + Madhva viphalikuru gloss (commentary note),2026-08-26T14:27:12
kn_gita-6th_video_0017,gita-6th_video,Expert (father),BG 2.14,T2,0,0,titiksasva vs other commentators sahasva,2026-08-26T14:27:12
kn_gita-6th_video_0018,gita-6th_video,Expert (father),BG 2.14,T4,0,0,"doctor/fever analogy, own words",2026-08-26T14:27:12
kn_gita-6th_video_0019,gita-6th_video,Expert (father),BG 2.14,T1,0,0,"""mattomme shloka"" full re-recitation, then the phala preview",2026-08-26T14:27:12
kn_gita-6th_video_0020,gita-6th_video,Expert (father),NONE,NONE,0,0,dedication,2026-08-26T14:27:12
kn_kannada_19_0000,kannada_19,Expert (father),BG 2.46,T1,1,0,"""46ne shloka"" spoken; full recitation + pada-vibhaga (vija anatah = vijanatah split by ASR, ruling 12). Opening recap of 2.45 in Kannada -> cross-ref 2.45 (note only, no row); traigunya/nistraigunya here = flowing-speech vocabulary (ruling 7), not fragments",2026-08-27T11:40:00
kn_kannada_19_0001,kannada_19,Expert (father),BG 2.46,T2,0,0,"yavan / tavan parsed as verse words, then contiguous udapane yavan arthah sarvatah samplutodake tavan re-quoted in anvaya discussion",2026-08-27T11:40:00
kn_kannada_19_0002,kannada_19,Expert (father),BG 2.46,T2,0,0,"udapane yavan arthah, tavan sarvatah samplutodake; well-vs-river gloss follows",2026-08-27T11:40:00
kn_kannada_19_0003,kannada_19,Expert (father),BG 2.46,T4,0,1,"RULED T4 (was T2): only Sanskrit in unit is OOS, not a fragment of 2.46 -> guideline step 2 does not fire; Kannada content is jnana-vs-karma application -> step 4. OOS: kim iha alabhyam prasanne srinikeetane - devotional/stotra line, source unverified, expert to confirm (new inventory entry). Sudhama story = Bhagavata anecdote, Kannada only, no Sanskrit -> noted, no OOS tag (parable convention, cf. honey-drop). Pending team ratification of the OOS-only rule",2026-08-27T11:40:00
kn_kannada_19_0004,kannada_19,Expert (father),BG 2.46,T2,0,0,"sarvesu vedesu, vijanatah brahmanasya tavan (x2) - uttarardha gloss phase",2026-08-27T11:40:00
kn_kannada_19_0005,kannada_19,Expert (father),BG 2.46,T2,0,1,"Verse lemmas brahmana / vijanatah quoted and parsed (""giteya shabda..."", ""vijanatah anta onde shabda ide"") - citation function clear, but short-lemma rows go to the fragment-distinctiveness bucket. NOTE: the kannada_15 members of that bucket (0001/0004/0010/0013) are currently tagged T3, not T2 - bucket is split across videos, adjudicate together. Commentary Sanskrit (brahma anati [gacchati] iti brahmanah, Srimad-Acarya etymology, ruling 6), not verse text",2026-08-27T11:40:00
kn_kannada_19_0006,kannada_19,Expert (father),BG 2.46,T2,0,0,"vijanatah gloss continues; OOS: Brhadaranyaka Up. 2.4.5 (atma va are drastavyah srotavyo mantavyo nididhyasitavyah), confident - new inventory entry. sravana/manana exposition follows",2026-08-27T11:40:00
kn_kannada_19_0007,kannada_19,Expert (father),BG 2.46,T2,0,0,"vijanatah wrap-up + nididhyasitavyah re-quoted (Brh. Up. continuation); OOS: BG 5.29 (suhrdam sarva-bhutanam), confident - new inventory entry",2026-08-27T11:40:00
kn_kannada_19_0008,kannada_19,Expert (father),BG 2.46,T1,0,0,"""mattomme shloka"" full re-recitation of 2.46 (ruling 10; udapani/samplu todake garbles, no downgrade) - positional reference, so explicit=0. Then ""47ne shloka"" announced with NO 2.47 Sanskrit or content in this unit -> no 2.47 row created here (tie-break 6); the explicit ref is carried on the 2.47 row at 0009. Cross-ref 2.45 (nitya-sattvastha, atmavan frags) - note only, but these are in-scope Ch.2 Sanskrit fragments and may warrant their own 2.45 row; flagged",2026-08-27T11:40:00
kn_kannada_19_0009,kannada_19,Expert (father),BG 2.47,T1,1,1,"Full 2.47 recitation + pada-vibhaga (ma ate sangostva = ma te sango stv garble). explicit=1 CHANGED from 0: the number ""47ne shloka"" is spoken at the end of 0008 and the announcement + recitation are one act split by the 100-word chunker (tie-break 1). uncertain=1 pending ratification of that boundary convention. Then the ""labor-hostile"" misreading critique begins (Kannada)",2026-08-27T11:40:00
kn_kannada_19_0010,kannada_19,Expert (father),BG 2.47,T2,0,0,te karmany eva adhikarah re-quoted amid the misinterpretation rebuttal,2026-08-27T11:40:00
kn_kannada_19_0011,kannada_19,Expert (father),BG 2.47,T4,0,1,"RULED T4 (was T2): only Sanskrit in unit is OOS, not a fragment of 2.47 -> guideline step 2 does not fire; Kannada is kamya-vs-nitya vidhi distinction -> step 4. OOS: ahar ahah sandhyam upasita - Vedic/smrti vidhi (nitya-karma injunction), source unverified, expert to confirm (new inventory entry). Pending team ratification of the OOS-only rule",2026-08-27T11:40:00
kn_kannada_19_0012,kannada_19,Expert (father),BG 2.47,T2,0,0,karmany evadhikaras te quoted by name; te... karmani adhikarah / phalesu na reassembled with gloss (ruling 2 territory but fragments suffice for T2); ahar ahah sandhyam upasita repeated (same OOS),2026-08-27T11:40:00
kn_kannada_19_0013,kannada_19,Expert (father),BG 2.47,T2,0,0,"ma karma-phala-hetur bhuh, ma te sango stv [a]karmani, karma-phala-hetuh ma bhuh; commentary Sanskrit (speaker's ""ola abhipraya"" gloss karma-krtau phalam eva hetuh [na] bhu-, Raghavendra-style, ruling 6), not verse text",2026-08-27T11:40:00
kn_kannada_19_0014,kannada_19,Expert (father),BG 2.47,T4,0,0,"Pure Kannada application (salary/dakshine sermon, government-employee point) - no verse Sanskrit; ""dakshinege takkante pradakshine"" = idiom, ruling 7",2026-08-27T11:40:00
kn_kannada_19_0015,kannada_19,Expert (father),BG 2.47,T2,0,0,ma [a]ti sankostva karmani = garbled ma te sango stv akarmani (ruling 12); banana-plantation parable = explanation around the fragment,2026-08-27T11:40:00
kn_kannada_19_0016,kannada_19,Expert (father),BG 2.47,T2,0,0,"ma karma-phala-hetur bhuh, ma te sangah astu akarmani - both padas re-quoted with gloss",2026-08-27T11:40:00
kn_kannada_19_0017,kannada_19,Expert (father),BG 2.47,T1,0,0,"""mattomme shloka"" full re-recitation; dedication folds in (ruling 11)",2026-08-27T11:40:00
kn_kannada_20_0000,kannada_20,Expert (father),BG 2.47,T2,1,0,"Session-opening recap of previous session's verse with fragments: karmany eva adhikaras te, [phalesu] na adhikarah, ma te sango stu akarmani (all three verified in unit text). ""47neya shlokadalli"" spoken -> Explicit=1. Sanskrit present, so T2 - not the ruling-13 (no-Sanskrit recap) case. Cross-session recap convention: verse is in-scope Ch.2, so plain verse_ref, no OOS",2026-08-27T12:15:00
kn_kannada_20_0001,kannada_20,Expert (father),BG 2.47,T2,0,0,"ma te sangah astu akarmani quoted as the answer Krishna gave, before the turn to 2.48. Split from the 2.48 row on this unit (one row per verse); the spoken number in this unit is 48, so Explicit=0 here",2026-08-27T12:15:00
kn_kannada_20_0001,kannada_20,Expert (father),BG 2.48,T1,1,0,"""ee 48neya shlokadalli"" spoken -> full recitation of 2.48, all four padas (yogastha kuru karmani sangam tyaktva dhanam jaya siddha siddho samobhutva samatvam yoga uccate; uccate = ucyate garble, ruling 12). Split from the 2.47 row on this unit",2026-08-27T12:15:00
kn_kannada_20_0002,kannada_20,Expert (father),BG 2.48,T1,0,1,"Full pada-vibhaga alone, every token in order (yogasthah kuru karmani sangam tyaktva dhanamjaya siddhy-asiddhyoh samah bhutva samatvam yogah ucyate), samhita recitation fell in previous unit - T1 per ruling 3, which is still pending team confirmation -> Uncertain=1. First live instance of ruling 3 in my batches; word-by-word gloss follows",2026-08-27T12:15:00
kn_kannada_20_0003,kannada_20,Expert (father),BG 2.48,T2,0,0,"yogastha[h] parsed, kuru karmani; pradakshine example is explanation",2026-08-27T12:15:00
kn_kannada_20_0004,kannada_20,Expert (father),BG 2.48,T2,0,0,"sangam tyaktva, karmani kuru; jackfruit-wax parable = explanation around fragments",2026-08-27T12:15:00
kn_kannada_20_0005,kannada_20,Expert (father),BG 2.48,T2,0,0,"sangam tyaktva (x3), yogasthah, karmani kuru dhanamjaya; OOS: karmana badhyate jantuh (bhajyate = badhyate garble) - second occurrence of the kannada_17 0006 line, still source unverified (smrti/MBh). NOTE: the kannada_17 0006 row carries no OOS note, so there is no inventory entry to increment - this is effectively entry 1",2026-08-27T12:15:00
kn_kannada_20_0006,kannada_20,Expert (father),BG 2.48,T2,0,0,"siddhy-asiddhyoh samo bhutva samatvam yoga ucyate re-quoted with gloss, yogasthah, samah - second half nearly complete but woven through explanation -> reassembled != T1 (ruling 2)",2026-08-27T12:15:00
kn_kannada_20_0007,kannada_20,Expert (father),BG 2.48,T2,0,0,"sangam tyaktva, nishkama framing; ma te sango stu akarmani -> cross-ref 2.47 (note only, no row - in-scope Ch.2 fragment, flagged for the cross-ref convention decision)",2026-08-27T12:15:00
kn_kannada_20_0008,kannada_20,Expert (father),BG 2.48,T4,0,0,"Pure Kannada application (festival-cooking/naivedya example); ""nishkama karma"" = flowing-speech vocabulary (ruling 7), no verse fragments",2026-08-27T12:15:00
kn_kannada_20_0009,kannada_20,Expert (father),BG 2.48,T1,0,0,"""mattomme shloka"" full re-recitation of 2.48 (ruling 10) - positional, Explicit=0. Split from the 2.49 row on this unit",2026-08-27T12:15:00
kn_kannada_20_0009,kannada_20,Expert (father),BG 2.49,T1,0,0,"""mundina shloka"" (positional -> Explicit=0) -> full recitation of 2.49 + pada-vibhaga (shyavaram parsed by speaker as hi avaram: ""shyavaram ondu pada alla, alli eradu pada ide""; ananjaya = dhanamjaya garble). Split from the 2.48 row on this unit",2026-08-27T12:15:00
kn_kannada_20_0010,kannada_20,Expert (father),BG 2.49,T2,0,0,"durena [hi] avaram, karma buddhi-yogat fragments in word-sense discussion",2026-08-27T12:15:00
kn_kannada_20_0011,kannada_20,Expert (father),BG 2.49,T2,0,0,"durena hi avaram karma buddhiyogat dhanamjaya re-quoted, buddhau saranam anviccha (x2, anmiccha garble)",2026-08-27T12:15:00
kn_kannada_20_0012,kannada_20,Expert (father),BG 2.49,T2,0,0,"krpanah phala-hetavah parsed (phalahina etavah = garbled repeat, ruling 12); OOS: imam lokam hinataram va visanti - speaker attributes to ""Upanishat""; kamya-karma-return doctrine, likely Prasna Up. family but source unverified, expert to confirm - new inventory entry",2026-08-27T12:15:00
kn_kannada_20_0013,kannada_20,Expert (father),BG 2.49,T1,0,0,"""mattomme shloka"" full continuous re-recitation of 2.49 (verified: durena shyavaram karma buddhiyogadhanam jaya buddhau saranamanmiccha krpana phalahe tavah); then forward pointer (2.50 = buddhi-yoga's fruit) in Kannada",2026-08-27T12:15:00
kn_kannada_20_0014,kannada_20,Expert (father),NONE,NONE,0,0,"Standalone sponsor dedication, zero content - same pattern as kannada_17 0013 (ruling 11 standalone case), which is recorded NONE,NONE",2026-08-27T12:15:00
